error	sourcefile	lineno	wrong	line
mixed case in default	AbB-secondary	16643	1	14. u3 ka#-ni-ik-szu 1 1/3(disz) _gin2 ku3-babbar_
mixed case in default	AbB-secondary	16644	4	15. u3 0,2.4 sze ma-ah-ri-ia
mixed case in default	AbB-secondary	68055	0	8. a-am-ma#-ar# [0]
mixed case in default	AbB-secondary	68168	0	8. a-na ku-ru#-[ma]-at#-[0]
mixed case in default	AbB-secondary	68262	2	4. 2 1/2(disz) _gin2 ku3-babbar_ szum-ma szu-usz-qu2-lum#
mixed case in default	AbB-secondary	68733	0	5. i-na 46,3.2.0 _gur zu2-lum_
mixed case in default	AbB-secondary	68733	2	5. i-na 46,3.2.0 _gur zu2-lum_
mixed case in default	AbB-secondary	68734	0	6. 31,2.3.0 _gur_ im-du-ud
mixed case in default	AbB-secondary	68734	3	6. 31,2.3.0 _gur_ im-du-ud
mixed case in default	AbB-secondary	68735	0	7. 5,2.0.0 _gur ba-zi_ na-szi
mixed case in default	AbB-secondary	68736	0	8. a-na si-it-ti 9,4.0.0 _gur_
mixed case in default	AbB-secondary	68798	0	5. a-na sza-pi2-ri-ia 0,0.1.0 _i3-gisz_
mixed case in default	AbB-secondary	68798	1	5. a-na sza-pi2-ri-ia 0,0.1.0 _i3-gisz_
mixed case in default	AbB-secondary	68803	0	10. isz-tu i-na-an-na lu-u2 [i-na pa]-ni-[0]
mixed case in default	AbB-secondary	68848	0	6. [0,0.]2.0 _zid2-da_ na-[x]-PI?-[x]
mixed case in default	AbB-secondary	68848	2	6. [0,0.]2.0 _zid2-da_ na-[x]-PI?-[x]
mixed case in default	AbB-secondary	68849	0	7. [0,0.]2.0 _zid2-da_ na-DI?-[x]
mixed case in default	AbB-secondary	68849	2	7. [0,0.]2.0 _zid2-da_ na-DI?-[x]
mixed case in default	AbB-secondary	69119	1	8. 2(disz) {na4}hu-ul-lu u3 1 1/2(disz) _gin2 ku3-gi_
mixed case in default	AbB-secondary	69124	1	13. u3 1 1/2(disz) _gin2 ku3-gi_
mixed case in default	AbB-secondary	69177	1	17. 1 1/2(disz) _ma-na 5(disz) gin2 ku3-babbar_ sza 3 [x-x-x]
mixed case in default	AbB-secondary	69177	3	17. 1 1/2(disz) _ma-na 5(disz) gin2 ku3-babbar_ sza 3 [x-x-x]
mixed case in default	AbB-secondary	69198	0	20. [0] lu-hu-za-am u3 a-na-ku-u2
mixed case in default	AbB-secondary	70978	0	12. na-szu-u2 a-di am-sza-li-[0]
mixed case in default	AbB-secondary	70990	0	9. sza a-na sza-pi2-ri-ni# [0-0]
mixed case in default	AbB-secondary	71078	2	5. 0,0.2 _gesztin-hi-a_ dam-qa2-<tim>
unbalanced underscores	AbB-primary	54		6'. x _[a-sza3 s,i]-bi-it ku-un-zu-lum
unbalanced underscores	AbB-primary	203		4. _u4 4(disz)-kam a-di i-na-an-na
unbalanced underscores	AbB-primary	7787		17. usz#-ta-bi-lam asz-szum sze-e _szuku#-ka sza _mu 4(disz)-kam_
unbalanced underscores	AbB-primary	8591		10. _szuku# e2_ sza a-di _iti# szu-numun#-a LI#-x [(x)]
unbalanced underscores	AbB-primary	9024		6. _1(u) 5(asz) sze gur_ sza _lu2-kurun2-na
unbalanced underscores	AbB-primary	11813		25. _a2 {gesz}ma2_ a-na _u4 2(u)-kam li-li-[kam]
unbalanced underscores	AbB-primary	12934		2. u3 4(asz) 2(barig) 3(ban2) sze gur_ la-bi-ir-tim#
unbalanced underscores	AbB-primary	13119		9. _1(ban2) ze2!(SZE)-ra-am sza# sza#-ma-asz-ki-il#-[li ...]
unbalanced underscores	AbB-primary	13281		3. i-na _iti kin {d}inanna u4 3(u)-kam
unbalanced underscores	AbB-primary	15088		9. _u4 <<kam iti>> 1(u) 6(disz)-kam_ sza _iti udru{duru5}
unbalanced underscores	AbB-primary	16882		2. sza be-li2-ia ka#-ta a-wi-il-sin _sza13#-dub#-ba#
unbalanced underscores	AbB-primary	17662		2'. _1(disz) 2/3(disz) gin2# [...]
unbalanced underscores	AbB-primary	18621		13. _6(disz) ma2 hi-a_ a-na _ma2-i3-dub 5(gesz2) gur#
unbalanced underscores	AbB-primary	18636		4. i-na _1(disz) ma2 5(asz) gur <_sze_>-am ni-it-bu-uk-ma
unbalanced underscores	AbB-primary	18796		9. u3 2(disz) _aga#-us2#-[(x)]-mesz#
unbalanced underscores	AbB-primary	19009		7. _5(bur3) GAN2-ma _a-sza3_ i-na _iri_ ur-sa6-ga{ki}
unbalanced underscores	AbB-primary	22783		6. [ma]-ah#-ri-ki _iti szu-numun-a u4 5(disz)-kam
unbalanced underscores	AbB-primary	23028		8. 3(disz) szu-szi _{gesz}taskarin# hi#-a x x-ma
unbalanced underscores	AbB-primary	28069		9. sza _masz2#-szu#-[gid2-gid2]
unbalanced underscores	AbB-primary	28968		5. _mu-kux(DU)# [x x x]-tum?
unbalanced underscores	AbB-primary	28982		6'. _2(disz) ARAD HAR HI UD TE ta x x
unbalanced underscores	AbB-secondary	9313		7. [2(disz) _gin2] ku3#-babbar u3 e-em x
unbalanced underscores	AbB-secondary	12409		1. [a-na ra]-bi-a-an _an-[za-gar3]-ku-na-nu-um{ki}
unbalanced underscores	AbB-secondary	12711		2. _dumu-mesz _AZ/UG-ni-i{ki}_
unbalanced underscores	AbB-secondary	14533		14. a-na _mu 2(disz) kam# [0-0]
unbalanced underscores	AbB-secondary	16503		4. [_{d}utu_ u3 {d}]amar-utu_ li-ba#-al#-li-t,u2-ka
unbalanced underscores	AbB-secondary	23809		19. _nig2-ka9#-szu-nu li-pu-szu
unbalanced underscores	AbB-secondary	23992		7. u3 _7(disz) ma-na ku3-babbar la-bi-ir#-ti#-szu
unbalanced underscores	AbB-secondary	25602		12. _e2 dumu-munus szul-gi ki te-ep-ti-[a]
unbalanced underscores	AbB-secondary	25644		9. _gal-ukken#-[na] x x [(x) (x)]
unbalanced underscores	AbB-secondary	25654		19. _sze_-am sza# _a-sza3 gu2-un#-[szu]
unbalanced underscores	AbB-secondary	36557		6. a-na _ki-se3-ga_ sza _iti NE-NE-gar
unbalanced underscores	AbB-secondary	41708		8. _3(u) gur sze-ba lu2-sza3-gu4_ u3 x sze-gesz-i3_
unbalanced underscores	AbB-secondary	41733		13. sza _{gesz}erin mi-UH3-s,u2-u2-um
unbalanced underscores	AbB-secondary	41734		14. _1/2(disz) ninda 4(disz) kusz3_ me2-e-lu-u2-um 2(disz) 2/3(disz) kusz3_ ru-up-szum
unbalanced underscores	AbB-secondary	41776		8.     1(gesz'u) 4(gesz2) 1(u) 4(asz) gur_
unbalanced underscores	AbB-secondary	41961		13. _2(bur3) GAN2 i-na _iri{ki} ka-dingir_
unbalanced underscores	AbB-secondary	41963		15. _3(bur3) GAN2 i-ir-ri-i#-szu#
unbalanced underscores	AbB-secondary	41965		17. _3(bur3) GAN2 s,a-a-pi i-na li-ib-bi-im
unbalanced underscores	AbB-secondary	55174		1. ib2-tak4 ab2 gu4 hi-a_ ia-AH-a-tum
unbalanced underscores	AbB-secondary	57489		7'. _iti 2(disz)-kam ki-a-am 2(u) _erin2-mesz_ [x x x (x)]
unbalanced underscores	AbB-secondary	58751		11. {disz}lu2-{d}asar-lu2-hi _dub#-sar# erin2
unbalanced underscores	AbB-secondary	62279		3'. [x x x x (x) (x)] _iti 1(disz)-kam_ ha-ad-de-ta_
unbalanced underscores	AbB-secondary	62667		7. isz-tu _mu# 5(disz)-kam#
unbalanced underscores	AbB-secondary	65129		7. i-na _{na4}kiszib3#-szu
unbalanced underscores	AbB-secondary	65641		10'. sza {d}nin-szubur-a-bi _ugula mar-tu#
unbalanced underscores	AbB-secondary	69044		7. sza _szabra-mesz_ sza _szir-bur_la{ki}_
